UBA.Genome.ID	Experiment.Title	Study.Title
UBA17	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA18	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA19	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA20	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA21	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA22	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA23	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA24	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA25	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA26	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA27	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA28	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA29	Mediterranean Deep Chlorophyll Maximum metagenome 0.22-5 micron fraction	Mediterranean Deep Chlorophyll Maximum Metagenome
UBA30	Mediterranean Deep Chlorophyll Maximum metagenome 0.22-5 micron fraction	Mediterranean Deep Chlorophyll Maximum Metagenome
UBA31	Mediterranean Deep Chlorophyll Maximum metagenome 0.22-5 micron fraction	Mediterranean Deep Chlorophyll Maximum Metagenome
UBA32	Illumina HiSeq 2000 paired end sequencing	Shotgun metagenomics reveals a wide array of antibiotic resistance genes and mobile elements in a polluted lake in India
UBA33	Illumina HiSeq 2000 paired end sequencing	Shotgun metagenomics reveals a wide array of antibiotic resistance genes and mobile elements in a polluted lake in India
UBA34	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA35	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA36	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA37	COGITO 998_met_01 Sequencing	Pelagic Microbial community sample from North Sea - COGITO 998_met_01 Metagenome
UBA38	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA39	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA40	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA41	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA42	Metagenomic study of ancient fermentation pits	Pit mud of Chinese liqour fermentation reactorMetagenome
UBA43	Metagenomic study of ancient fermentation pits	Pit mud of Chinese liqour fermentation reactorMetagenome
UBA44	Metagenomic study of ancient fermentation pits	Pit mud of Chinese liqour fermentation reactorMetagenome
UBA45	Metagenomic study of ancient fermentation pits	Pit mud of Chinese liqour fermentation reactorMetagenome
UBA46	Metagenomic study of ancient fermentation pits	Pit mud of Chinese liqour fermentation reactorMetagenome
UBA47	Anaerobic Digestion Sludge	Diverse Environmental Samples Metagenome
UBA48	shotgun metagenomic sequencing of fecal sample from an adult baboon: Sample F29	Baboon feces Metagenome
UBA49	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA50	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA51	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA52	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA53	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA54	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA55	Viral faction of Metagenome from Beebe hydrothermal vent plume at at depth of 4900m	Mid Cayman Rise Metagenome
UBA56	Viral faction of Metagenome from Beebe hydrothermal vent plume at at depth of 4900m	Mid Cayman Rise Metagenome
UBA57	Viral faction of Metagenome from Beebe hydrothermal vent plume at at depth of 4900m	Mid Cayman Rise Metagenome
UBA58	Viral faction of Metagenome from Beebe hydrothermal vent plume at at depth of 4900m	Mid Cayman Rise Metagenome
UBA59	Viral faction of Metagenome from Beebe hydrothermal vent plume at at depth of 4900m	Mid Cayman Rise Metagenome
UBA60	Viral faction of Metagenome from Beebe hydrothermal vent plume at at depth of 4900m	Mid Cayman Rise Metagenome
UBA61	Peat soil winter metagenomes	SPRUCE microbial community Metagenome
UBA62	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA63	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA64	Wetland Surface Sediment Feb2011 Site L1 Cattail library	Wetland Surface Sediment Feb2011 Site L1 Cattail Project
UBA65	Wetland Surface Sediment Feb2011 Site L1 Cattail library	Wetland Surface Sediment Feb2011 Site L1 Cattail Project
UBA66	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA67	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA68	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA69	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA70	None	Metagenomic study of the microbial genes abundance in treated palm oil mill effluent
UBA71	None	Metagenomic study of the microbial genes abundance in treated palm oil mill effluent
UBA72	None	Metagenomic study of the microbial genes abundance in treated palm oil mill effluent
UBA73	None	Metagenomic study of the microbial genes abundance in treated palm oil mill effluent
UBA74	None	Metagenomic study of the microbial genes abundance in treated palm oil mill effluent
UBA75	None	Metagenomic study of the microbial genes abundance in treated palm oil mill effluent
UBA76	None	Metagenomic study of the microbial genes abundance in treated palm oil mill effluent
UBA77	None	Metagenomic study of the microbial genes abundance in treated palm oil mill effluent
UBA78	None	Metagenomic study of the microbial genes abundance in treated palm oil mill effluent
UBA79	None	Metagenomic study of the microbial genes abundance in treated palm oil mill effluent
UBA80	None	Metagenomic study of the microbial genes abundance in treated palm oil mill effluent
UBA81	None	Metagenomic study of the microbial genes abundance in treated palm oil mill effluent
UBA82	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA83	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA84	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA85	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA86	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA87	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA88	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA89	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA90	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA91	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA92	Crystal Geyser Metagenome CG2 sample 0.2 micron filter B	Crystal Geyser Metagenome
UBA93	Crystal Geyser Metagenome CG2 sample 0.2 micron filter B	Crystal Geyser Metagenome
UBA94	Crystal Geyser Metagenome CG2 sample 0.2 micron filter B	Crystal Geyser Metagenome
UBA95	Crystal Geyser Metagenome CG2 sample 0.2 micron filter B	Crystal Geyser Metagenome
UBA96	Crystal Geyser Metagenome CG2 sample 0.2 micron filter B	Crystal Geyser Metagenome
UBA97	Crystal Geyser Metagenome CG2 sample 0.2 micron filter B	Crystal Geyser Metagenome
UBA98	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA99	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA100	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA101	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA102	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA103	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA104	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA105	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA106	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA107	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA108	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA109	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA110	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA111	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA112	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA113	Metagenome raw reads obatined from feces of a six-years old elephant	Elephant feces Metagenome
UBA114	Wetland Surface Sediment Feb2011 Site B1 Cattail library	Wetland Surface Sediment Feb2011 Site B1 Cattail Project
UBA115	Metagenomic sequencing of crude oil from Qinghai oil field in china	Crude oil Metagenome
UBA116	Metagenomic sequencing of crude oil from Qinghai oil field in china	Crude oil Metagenome
UBA117	Metagenomic sequencing of crude oil from Qinghai oil field in china	Crude oil Metagenome
UBA118	Metagenomic sequencing of crude oil from Qinghai oil field in china	Crude oil Metagenome
UBA119	Metagenomic sequencing of crude oil from Qinghai oil field in china	Crude oil Metagenome
UBA120	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA121	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA122	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA123	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA124	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA125	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA126	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA127	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA128	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA129	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA130	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA131	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA132	COGITO 998_met_06 Sequencing	Pelagic Microbial community sample from North Sea - COGITO 998_met_06 Metagenome
UBA133	Metagenome from the Beebe near bottom background at depth 4946m	Mid Cayman Rise Metagenome
UBA134	Metagenome from the Von Damm hydrothermal vent plume at depth 2041m	Mid Cayman Rise Metagenome
UBA135	anaerobic thermophilic(55C) cellulolytic sludge	Anaerobic thermophilic cellulolytic sludge Metagenome
UBA136	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA137	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA138	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA139	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA140	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA141	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA142	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA143	2012TP6_6m: suncor tailing pond 6 meters illumina sample	Hydrocarbon Metagenome
UBA144	2012TP6_6m: suncor tailing pond 6 meters illumina sample	Hydrocarbon Metagenome
UBA145	2012TP6_6m: suncor tailing pond 6 meters illumina sample	Hydrocarbon Metagenome
UBA146	2012TP6_6m: suncor tailing pond 6 meters illumina sample	Hydrocarbon Metagenome
UBA147	2012TP6_6m: suncor tailing pond 6 meters illumina sample	Hydrocarbon Metagenome
UBA148	2012TP6_6m: suncor tailing pond 6 meters illumina sample	Hydrocarbon Metagenome
UBA149	2012TP6_6m: suncor tailing pond 6 meters illumina sample	Hydrocarbon Metagenome
UBA150	2012TP6_6m: suncor tailing pond 6 meters illumina sample	Hydrocarbon Metagenome
UBA151	2012TP6_6m: suncor tailing pond 6 meters illumina sample	Hydrocarbon Metagenome
UBA152	2012TP6_6m: suncor tailing pond 6 meters illumina sample	Hydrocarbon Metagenome
UBA153	2012TP6_6m: suncor tailing pond 6 meters illumina sample	Hydrocarbon Metagenome
UBA154	Iso3T illumina	Hydrocarbon Metagenome
UBA155	Iso3T illumina	Hydrocarbon Metagenome
UBA156	Iso3T illumina	Hydrocarbon Metagenome
UBA157	Microbial metagenomics of Shi-Huang-Ping acidic hot spring, Taiwan	Acidic hot spring Metagenome
UBA158	Microbial metagenomics of Shi-Huang-Ping acidic hot spring, Taiwan	Acidic hot spring Metagenome
UBA159	Microbial metagenomics of Shi-Huang-Ping acidic hot spring, Taiwan	Acidic hot spring Metagenome
UBA160	Microbial metagenomics of Shi-Huang-Ping acidic hot spring, Taiwan	Acidic hot spring Metagenome
UBA161	Microbial metagenomics of Shi-Huang-Ping acidic hot spring, Taiwan	Acidic hot spring Metagenome
UBA162	Microbial metagenomics of Shi-Huang-Ping acidic hot spring, Taiwan	Acidic hot spring Metagenome
UBA163	Microbial metagenomics of Shi-Huang-Ping acidic hot spring, Taiwan	Acidic hot spring Metagenome
UBA164	Microbial metagenomics of Shi-Huang-Ping acidic hot spring, Taiwan	Acidic hot spring Metagenome
UBA165	Microbial metagenomics of Shi-Huang-Ping acidic hot spring, Taiwan	Acidic hot spring Metagenome
UBA166	Microbial metagenomics of Shi-Huang-Ping acidic hot spring, Taiwan	Acidic hot spring Metagenome
UBA167	Microbial metagenomics of Shi-Huang-Ping acidic hot spring, Taiwan	Acidic hot spring Metagenome
UBA168	Microbial metagenomics of Shi-Huang-Ping acidic hot spring, Taiwan	Acidic hot spring Metagenome
UBA169	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA170	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA171	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA172	Metagenome from the background ocean water at depth 4950m	Mid Cayman Rise Metagenome
UBA173	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA174	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA175	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA176	fracture water metagenome: Sample MM51940FW200712	Fracture water Metagenome
UBA177	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA178	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA179	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA180	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA181	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA182	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA183	RA	RA Metagenome
UBA184	RA	RA Metagenome
UBA185	RA	RA Metagenome
UBA186	None	Oil polluted marine microbial communities from Coal Oil Point, Santa Barbara, California, USA - Sample 1 Metagenome
UBA187	Illumina HiSeq 2500 paired end sequencing	The rumen microbial metagenome associated with high methane production in cattle
UBA188	Illumina HiSeq 2500 paired end sequencing	The rumen microbial metagenome associated with high methane production in cattle
UBA189	Illumina HiSeq 2500 paired end sequencing	The rumen microbial metagenome associated with high methane production in cattle
UBA190	Illumina HiSeq 2500 paired end sequencing	The rumen microbial metagenome associated with high methane production in cattle
UBA191	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA192	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA193	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA194	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA195	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA196	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA197	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA198	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA199	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA200	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA201	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA202	None	Oil polluted marine microbial communities from Coal Oil Point, Santa Barbara, California, USA - Sample 3 Metagenome
UBA203	None	Oil polluted marine microbial communities from Coal Oil Point, Santa Barbara, California, USA - Sample 3 Metagenome
UBA204	None	Oil polluted marine microbial communities from Coal Oil Point, Santa Barbara, California, USA - Sample 3 Metagenome
UBA205	Hakon Mosby Mud Volcano metagenomic sequencing: Sample PS64_332_1_GC	Hakon Mosby Mud Volcano Targeted Locus (Loci)
UBA206	Hakon Mosby Mud Volcano metagenomic sequencing: Sample PS64_332_1_GC	Hakon Mosby Mud Volcano Targeted Locus (Loci)
UBA207	Hakon Mosby Mud Volcano metagenomic sequencing: Sample PS64_332_1_GC	Hakon Mosby Mud Volcano Targeted Locus (Loci)
