LABELS
SEPARATOR TAB
DATA
accession	name (group)
GCA_000379145.1	Bradyrhizobium elkanii USDA 76 (Alphaproteobacteria)
GCA_000379585.1	Bradyrhizobium sp. WSM2793 (Alphaproteobacteria)
GCA_000383115.1	alpha proteobacterium SCGC AAA015-N04 (Alphaproteobacteria)
GCA_000383215.1	alpha proteobacterium SCGC AAA158-M15 (Alphaproteobacteria)
GCA_000384615.1	alpha proteobacterium SCGC AAA536-G10 (Alphaproteobacteria)
GCA_000389825.1	Pandoraea sp. SD6-2 (Betaproteobacteria)
GCA_000400995.2	Acidovorax sp. MR-S7 (Betaproteobacteria)
GCA_000421305.1	Bradyrhizobium japonicum is5 (Alphaproteobacteria)
GCA_000421325.1	alpha proteobacterium SCGC AAA536-K22 (Alphaproteobacteria)
GCA_000423605.1	Saccharospirillum impatiens DSM 12546 (Gammaproteobacteria)
GCA_000426105.1	Bradyrhizobium sp. URHA0002 (Alphaproteobacteria)
GCA_000426245.1	Bradyrhizobium sp. Ai1a-2 (Alphaproteobacteria)
GCA_000426265.1	Bradyrhizobium sp. Cp5.3 (Alphaproteobacteria)
GCA_000426785.1	Bradyrhizobium sp. th.b2 (Alphaproteobacteria)
GCA_000426845.1	Bradyrhizobium japonicum in8p8 (Alphaproteobacteria)
GCA_000428325.2	beta proteobacterium SCGC AAA027-I06 (Betaproteobacteria)
GCA_000428385.1	beta proteobacterium SCGC AAA027-C02 (Betaproteobacteria)
GCA_000430725.1	Azohydromonas australica DSM 1124 (Betaproteobacteria)
GCA_000445145.1	Sphingobium baderi LL03 (Alphaproteobacteria)
GCA_000463015.1	Variovorax paradoxus B4 (Betaproteobacteria)
GCA_000464155.2	Bradyrhizobium sp. JGI 0001002-A22 (Alphaproteobacteria)
GCA_000465325.1	Bradyrhizobium sp. DFCI-1 (Alphaproteobacteria)
GCA_000472385.1	Bradyrhizobium sp. ARR65 (Alphaproteobacteria)
GCA_000472425.1	Bradyrhizobium sp. Tv2a-2 (Alphaproteobacteria)
GCA_000472645.1	Bradyrhizobium sp. WSM2254 (Alphaproteobacteria)
GCA_000472685.1	Bradyrhizobium arachidis (Alphaproteobacteria)
GCA_000472725.1	Bradyrhizobium ottawaense (Alphaproteobacteria)
GCA_000472745.1	Bradyrhizobium japonicum USDA 38 (Alphaproteobacteria)
GCA_000472765.1	Bradyrhizobium elkanii USDA 3254 (Alphaproteobacteria)
GCA_000472865.1	Bradyrhizobium elkanii WSM2783 (Alphaproteobacteria)
GCA_000472925.1	Bradyrhizobium sp. Ec3.3 (Alphaproteobacteria)
GCA_000472945.1	Bradyrhizobium japonicum USDA 135 (Alphaproteobacteria)
GCA_000472965.1	Bradyrhizobium elkanii WSM1741 (Alphaproteobacteria)
GCA_000472985.1	Bradyrhizobium japonicum USDA 6 (Alphaproteobacteria)
GCA_000473005.1	Bradyrhizobium elkanii USDA 3259 (Alphaproteobacteria)
GCA_000473025.1	Bradyrhizobium diazoefficiens (Alphaproteobacteria)
GCA_000473045.1	Bradyrhizobium sp. WSM3983 (Alphaproteobacteria)
GCA_000473065.1	Bradyrhizobium sp. WSM1743 (Alphaproteobacteria)
GCA_000473125.1	Bradyrhizobium genosp. SA-4 str. CB756 (Alphaproteobacteria)
GCA_000474175.2	Sphingobium barthaii (Alphaproteobacteria)
GCA_000482425.1	Bradyrhizobium japonicum 22 (Alphaproteobacteria)
GCA_000482525.1	Bradyrhizobium japonicum USDA 123 (Alphaproteobacteria)
GCA_000497165.1	Burkholderia dolosa PC543 (Betaproteobacteria)
GCA_000497675.1	Bradyrhizobium sp. OHSU_III (Alphaproteobacteria)
GCA_000498115.1	Burkholderia cenocepacia KC-01 (Betaproteobacteria)
GCA_000506985.1	Advenella kashmirensis W13003 (Betaproteobacteria)
GCA_000515415.1	Bradyrhizobium sp. WSM1417 (Alphaproteobacteria)
GCA_000518345.1	Bradyrhizobium sp. URHA0013 (Alphaproteobacteria)
GCA_000518365.1	Rhodospirillales bacterium URHD0088 (Alphaproteobacteria)
GCA_000518965.1	Bordetella petrii J51 (Betaproteobacteria)
GCA_000519225.1	Bradyrhizobium elkanii USDA 94 (Alphaproteobacteria)
GCA_000522425.1	Candidatus Entotheonella factor (Candidatus Tectomicrobia)
GCA_000617845.2	Bradyrhizobium sp. DOA9 (Alphaproteobacteria)
GCA_000620225.1	Variovorax sp. URHB0020 (Betaproteobacteria)
GCA_000648595.2	Bradyrhizobium diazoefficiens SEMIA 5080 (Alphaproteobacteria)
GCA_000661935.1	Bradyrhizobium japonicum SEMIA 5079 (Alphaproteobacteria)
GCA_000689555.1	Burkholderia cenocepacia PT15 (Betaproteobacteria)
GCA_000689575.1	Burkholderia cenocepacia S2AES (Betaproteobacteria)
GCA_000689595.1	Burkholderia cenocepacia D2AES (Betaproteobacteria)
GCA_000701345.1	Bradyrhizobium sp. URHD0069 (Alphaproteobacteria)
GCA_000722875.1	Sphingobium chlorophenolicum (Alphaproteobacteria)
GCA_000739775.1	Paraburkholderia heleia NBRC 101817 (Betaproteobacteria)
GCA_000743655.1	Sphingobium sp. ba1 (Alphaproteobacteria)
GCA_000745835.1	Belnapia moabensis DSM 16746 (Alphaproteobacteria)
GCA_000745855.1	Xenophilus azovorans DSM 13620 (Betaproteobacteria)
GCA_000756045.1	Paraburkholderia xenovorans LB400 (Betaproteobacteria)
GCA_000759655.1	Acidicaldus organivorans (Alphaproteobacteria)
GCA_000761355.1	Comamonas thiooxydans (Betaproteobacteria)
GCA_000761375.1	Comamonas thiooxydans (Betaproteobacteria)
GCA_000761395.1	Comamonas thiooxydans (Betaproteobacteria)
GCA_000773865.1	Bradyrhizobium japonicum (Alphaproteobacteria)
GCA_000783555.2	Burkholderia cenocepacia (Betaproteobacteria)
GCA_000802185.1	Belnapia sp. F-4-1 (Alphaproteobacteria)
GCA_000802225.1	Novosphingobium malaysiense (Alphaproteobacteria)
GCA_000807315.1	Bradyrhizobium japonicum (Alphaproteobacteria)
GCA_000807585.2	Variovorax paradoxus ZNC0006 (Betaproteobacteria)
GCA_000815105.2	Pandoraea pulmonicola (Betaproteobacteria)
GCA_000826965.4	Pandoraea apista (Betaproteobacteria)
GCA_000831005.1	Marinobacter salarius (Gammaproteobacteria)
GCA_000878305.1	Bradyrhizobium elkanii (Alphaproteobacteria)
GCA_000935205.1	Rhodopseudomonas palustris (Alphaproteobacteria)
GCA_000938235.1	Bradyrhizobium sp. LTSPM299 (Alphaproteobacteria)
GCA_000938255.1	Bradyrhizobium sp. LTSP849 (Alphaproteobacteria)
GCA_000938285.1	Bradyrhizobium sp. LTSP857 (Alphaproteobacteria)
GCA_000938305.1	Bradyrhizobium sp. LTSP885 (Alphaproteobacteria)
GCA_000943805.1	Sphingobium sp. YBL2 (Alphaproteobacteria)
GCA_000959505.1	Burkholderia dolosa AU0158 (Betaproteobacteria)
GCA_000964365.1	Acidisphaera rubrifaciens HS-AP3 (Alphaproteobacteria)
GCA_000974745.1	Bordetella bronchiseptica (Betaproteobacteria)
GCA_000974835.2	Burkholderia cepacia (Betaproteobacteria)
GCA_001008165.2	Altererythrobacter atlanticus (Alphaproteobacteria)
GCA_001010785.2	Pandoraea apista (Betaproteobacteria)
GCA_001026885.1	Variovorax paradoxus (Betaproteobacteria)
GCA_001027265.1	Pandoraea apista (Betaproteobacteria)
GCA_001038185.1	Bradyrhizobium japonicum (Alphaproteobacteria)
GCA_001046655.1	Sphingobium baderi LL03 (Alphaproteobacteria)
GCA_001049515.1	Pandoraea apista (Betaproteobacteria)
GCA_001189235.2	Bradyrhizobium embrapense (Alphaproteobacteria)
GCA_001189245.1	Bradyrhizobium pachyrhizi (Alphaproteobacteria)
GCA_001189845.1	Bradyrhizobium tropiciagri (Alphaproteobacteria)
GCA_001238275.1	Bradyrhizobium viridifuturi (Alphaproteobacteria)
GCA_001269365.1	Limnohabitans sp. Rim11 (Betaproteobacteria)
GCA_001276275.1	Burkholderia cenocepacia (Betaproteobacteria)
GCA_001280585.1	Bradyrhizobium diazoefficiens (Alphaproteobacteria)
GCA_001303445.1	Betaproteobacteria bacterium SG8_39 (Betaproteobacteria)
GCA_001304425.1	Betaproteobacteria bacterium SG8_40 (Betaproteobacteria)
GCA_001305965.1	Erythrobacter sp. SG61-1L (Alphaproteobacteria)
GCA_001312945.1	Bradyrhizobium sp. 17-4 (Alphaproteobacteria)
GCA_001319805.1	Burkholderia sp. E168m22 (Betaproteobacteria)
GCA_001399545.1	Variovorax paradoxus (Betaproteobacteria)
GCA_001399555.1	Variovorax paradoxus (Betaproteobacteria)
GCA_001399565.1	Variovorax paradoxus (Betaproteobacteria)
GCA_001399595.1	Variovorax paradoxus (Betaproteobacteria)
GCA_001399625.1	Variovorax paradoxus (Betaproteobacteria)
GCA_001401735.1	Variovorax paradoxus (Betaproteobacteria)
GCA_001421665.1	Sphingobium sp. Leaf26 (Alphaproteobacteria)
GCA_001424345.1	Burkholderia sp. Leaf177 (Betaproteobacteria)
GCA_001424545.1	Ramlibacter sp. Leaf400 (Betaproteobacteria)
GCA_001424605.1	Bradyrhizobium sp. Leaf396 (Alphaproteobacteria)
GCA_001426255.1	Sphingomonas sp. Root1294 (Alphaproteobacteria)
GCA_001426825.1	Sphingomonas sp. Root50 (Alphaproteobacteria)
GCA_001427865.1	Altererythrobacter sp. Root672 (Alphaproteobacteria)
GCA_001428605.1	Sphingomonas sp. Root720 (Alphaproteobacteria)
GCA_001429065.1	Sphingomonas sp. Root710 (Alphaproteobacteria)
GCA_001439885.1	Bradyrhizobium yuanmingense (Alphaproteobacteria)
GCA_001440015.1	Bradyrhizobium pachyrhizi (Alphaproteobacteria)
GCA_001440385.1	Bradyrhizobium valentinum (Alphaproteobacteria)
GCA_001440395.1	Bradyrhizobium jicamae (Alphaproteobacteria)
GCA_001440405.1	Bradyrhizobium valentinum (Alphaproteobacteria)
GCA_001440415.1	Bradyrhizobium retamae (Alphaproteobacteria)
GCA_001440475.1	Bradyrhizobium lablabi (Alphaproteobacteria)
GCA_001464035.1	Bradyrhizobiaceae bacterium Ga0074131 (Alphaproteobacteria)
GCA_001464375.1	Rhodospirillales bacterium Ga0074136 (Alphaproteobacteria)
GCA_001464655.1	Rhizobiales bacterium Ga0077555 (Alphaproteobacteria)
GCA_001464755.1	Rhizobiales bacterium Ga0077524 (Alphaproteobacteria)
GCA_001464765.1	Betaproteobacteria bacterium Ga0077526 (Betaproteobacteria)
GCA_001464815.1	Betaproteobacteria bacterium Ga0077527 (Betaproteobacteria)
GCA_001464855.1	Rhizobiales bacterium Ga0077530 (Alphaproteobacteria)
GCA_001464895.1	Betaproteobacteria bacterium Ga0077532 (Betaproteobacteria)
GCA_001464935.1	Gammaproteobacteria bacterium Ga0077536 (Gammaproteobacteria)
GCA_001464955.1	Rhizobiales bacterium Ga0077537 (Alphaproteobacteria)
GCA_001465595.2	Pandoraea apista (Betaproteobacteria)
GCA_001526365.1	Burkholderia sp. MSMB1835 (Betaproteobacteria)
GCA_001528895.1	Burkholderia sp. MSMB1078WGS (Betaproteobacteria)
GCA_001529965.1	Burkholderia territorii (Betaproteobacteria)
GCA_001530725.1	Burkholderia territorii (Betaproteobacteria)
GCA_001534535.1	Burkholderia sp. MSMB1459WGS (Betaproteobacteria)
GCA_001541225.1	Variovorax sp. WDL1 (Betaproteobacteria)
GCA_001542415.1	Bradyrhizobium macuxiense (Alphaproteobacteria)
GCA_001544455.2	Caballeronia sordidicola (Betaproteobacteria)
GCA_001549695.1	Bradyrhizobium diazoefficiens (Alphaproteobacteria)
GCA_001550165.1	Sphingobium sp. AM (Alphaproteobacteria)
GCA_001556045.1	Bradyrhizobium sp. CCH5-F6 (Alphaproteobacteria)
GCA_001556675.1	Xylophilus ampelinus (Betaproteobacteria)
GCA_001557035.1	Rhodospirillaceae bacterium CCH5-H10 (Alphaproteobacteria)
GCA_001571365.1	Achromobacter denitrificans NBRC 15125 (Betaproteobacteria)
GCA_001580035.1	Sphingobium sp. 22B (Alphaproteobacteria)
GCA_001580545.1	Paraburkholderia monticola (Betaproteobacteria)
GCA_001590795.1	Bradyrhizobium sp. AT1 (Alphaproteobacteria)
GCA_001591365.1	Variovorax paradoxus NBRC 15149 (Betaproteobacteria)
GCA_001593325.1	Bradyrhizobium sp. DOA1 (Alphaproteobacteria)
GCA_001595995.1	Bradyrhizobium liaoningense (Alphaproteobacteria)
GCA_001598395.1	Sphingomonas koreensis NBRC 16723 (Alphaproteobacteria)
GCA_001598515.1	Sphingobium chlorophenolicum NBRC 16172 (Alphaproteobacteria)
GCA_001613025.1	Nocardia jinanensis NBRC 108249 (Actinobacteria)
GCA_001618955.1	Tardiphaga robiniae (Alphaproteobacteria)
GCA_001629315.1	Gammaproteobacteria bacterium REDSEA-S08_B8 (Gammaproteobacteria)
GCA_001629435.1	Gammaproteobacteria bacterium REDSEA-S27_B14 (Gammaproteobacteria)
GCA_001629445.1	Gammaproteobacteria bacterium REDSEA-S21_B8 (Gammaproteobacteria)
GCA_001629515.1	Gammaproteobacteria bacterium REDSEA-S26_B10 (Gammaproteobacteria)
GCA_001634365.1	Burkholderia sp. OLGA172 (Betaproteobacteria)
GCA_001639685.1	Achromobacter insolitus (Betaproteobacteria)
GCA_001641335.1	Bradyrhizobium stylosanthis (Alphaproteobacteria)
GCA_001641635.1	Bradyrhizobium centrolobii (Alphaproteobacteria)
GCA_001641695.1	Bradyrhizobium neotropicale (Alphaproteobacteria)
GCA_001642675.1	Bradyrhizobium diazoefficiens USDA 110 (Alphaproteobacteria)
GCA_001651765.1	Sphingobium sp. 20006FA (Alphaproteobacteria)
GCA_001664005.1	Rhizobiales bacterium NRL2 (Alphaproteobacteria)
GCA_001693385.1	Bradyrhizobium icense (Alphaproteobacteria)
GCA_001693485.1	Bradyrhizobium sp. LMTR 3 (Alphaproteobacteria)
GCA_001699185.1	Sphingobium sp. Ndbn-10 (Alphaproteobacteria)
GCA_001703815.1	Sphingomonas sp. Ndbn-20 (Alphaproteobacteria)
GCA_001705105.1	Bradyrhizobium sp. UASWS1016 (Alphaproteobacteria)
GCA_001713415.1	Sphingobium sp. RAC03 (Alphaproteobacteria)
GCA_001717955.1	Sphingomonas panacis (Alphaproteobacteria)
GCA_001718185.1	Bradyrhizobium elkanii (Alphaproteobacteria)
GCA_001718205.1	Bradyrhizobium elkanii (Alphaproteobacteria)
GCA_001721285.1	Pandoraea sp. ISTKB (Betaproteobacteria)
GCA_001724045.1	Kaistia sp. SCN 65-12 (Alphaproteobacteria)
GCA_001724095.1	Bordetella sp. SCN 67-23 (Betaproteobacteria)
GCA_001724295.1	Hyphomicrobium sp. SCN 65-11 (Alphaproteobacteria)
GCA_001724675.1	Rhodospirillales bacterium SCN 65-16 (Alphaproteobacteria)
GCA_001724835.1	Hydrogenophaga sp. SCN 70-13 (Betaproteobacteria)
GCA_001725025.1	Sphingobium sp. SCN 64-10 (Alphaproteobacteria)
GCA_001725945.1	Cupriavidus sp. UYMMa02A (Betaproteobacteria)
GCA_001757355.1	Sphingobium phenoxybenzoativorans (Alphaproteobacteria)
GCA_001767945.1	Alphaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_66_14 (Alphaproteobacteria)
GCA_001770325.1	Betaproteobacteria bacterium RIFCSPLOWO2_02_64_14 (Betaproteobacteria)
GCA_001777155.1	Hydrogenophaga sp. PML113 (Betaproteobacteria)
GCA_001788485.1	Candidatus Rokubacteria bacterium RIFCSPLOWO2_02_FULL_71_18 (Candidatus Rokubacteria)
GCA_001829045.1	Sphingomonadales bacterium GWF1_63_6 (Alphaproteobacteria)
GCA_001868735.1	Bradyrhizobium elkanii (Alphaproteobacteria)
GCA_001884705.1	Couchioplanes caeruleus subsp. caeruleus (Actinobacteria)
GCA_001887695.1	Bradyrhizobium japonicum (Alphaproteobacteria)
GCA_001897045.1	Sphingomonas sp. 66-10 (Alphaproteobacteria)
GCA_001897135.1	Altererythrobacter sp. 66-12 (Alphaproteobacteria)
GCA_001897995.1	Alphaproteobacteria bacterium 65-37 (Alphaproteobacteria)
GCA_001898545.1	Sphingomonadales bacterium 63-6 (Alphaproteobacteria)
GCA_001898625.1	Burkholderiales bacterium 67-32 (Betaproteobacteria)
GCA_001899585.1	Rhodospirillales bacterium 70-18 (Alphaproteobacteria)
GCA_001899715.1	Sphingobium sp. 66-54 (Alphaproteobacteria)
GCA_001899725.1	Sphingomonas sp. 67-41 (Alphaproteobacteria)
GCA_001908185.1	Bradyrhizobium sp. AS23.2 (Alphaproteobacteria)
GCA_001908205.1	Bradyrhizobium sp. naS80.1 (Alphaproteobacteria)
GCA_001908235.1	Bradyrhizobium sp. naS96.2 (Alphaproteobacteria)
GCA_001908315.1	Bradyrhizobium diazoefficiens (Alphaproteobacteria)
GCA_001914535.1	Candidatus Rokubacteria bacterium 13_2_20CM_69_15_1 (Candidatus Rokubacteria)
GCA_001914555.1	Candidatus Rokubacteria bacterium 13_2_20CM_69_10 (Candidatus Rokubacteria)
GCA_001914885.1	Candidatus Rokubacteria bacterium 13_2_20CM_2_70_11 (Candidatus Rokubacteria)
GCA_001914905.1	Candidatus Rokubacteria bacterium 13_2_20CM_2_64_8 (Candidatus Rokubacteria)
GCA_001917535.1	Candidatus Rokubacteria bacterium 13_1_40CM_69_27 (Candidatus Rokubacteria)
GCA_001917585.1	Candidatus Rokubacteria bacterium 13_1_40CM_68_15 (Candidatus Rokubacteria)
GCA_001918035.1	Candidatus Rokubacteria bacterium 13_1_40CM_4_67_11 (Candidatus Rokubacteria)
GCA_001919035.1	Candidatus Rokubacteria bacterium 13_1_40CM_2_68_8 (Candidatus Rokubacteria)
GCA_001919045.1	Candidatus Rokubacteria bacterium 13_1_40CM_2_68_13 (Candidatus Rokubacteria)
GCA_001919365.1	Acidobacteria bacterium 13_1_40CM_2_68_5 (Acidobacteria)
GCA_001919565.1	Gemmatimonadetes bacterium 13_1_20CM_69_28 (Gemmatimonadetes)
GCA_001919765.1	Candidatus Rokubacteria bacterium 13_1_20CM_4_70_14 (Candidatus Rokubacteria)
GCA_001919805.1	Candidatus Rokubacteria bacterium 13_1_20CM_4_68_9 (Candidatus Rokubacteria)
GCA_001920055.1	Alphaproteobacteria bacterium 13_1_20CM_4_65_11 (Alphaproteobacteria)
GCA_001920255.1	Alphaproteobacteria bacterium 13_1_20CM_3_64_12 (Alphaproteobacteria)
GCA_001920475.1	Candidatus Rokubacteria bacterium 13_1_20CM_2_70_7 (Candidatus Rokubacteria)
GCA_001920485.1	Candidatus Rokubacteria bacterium 13_1_20CM_2_68_19 (Candidatus Rokubacteria)
GCA_001922385.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_001931485.1	Burkholderia sp. SRS-W-2-2016 (Betaproteobacteria)
GCA_001945385.1	Achromobacter denitrificans (Betaproteobacteria)
GCA_001969825.1	Bradyrhizobium sp. UFLA 03-321 (Alphaproteobacteria)
GCA_001971645.1	Achromobacter insolitus (Betaproteobacteria)
GCA_001982635.1	Bradyrhizobium mercantei (Alphaproteobacteria)
GCA_001984055.1	Variovorax sp. KK3 (Betaproteobacteria)
GCA_001988975.1	Burkholderia sp. KK1 (Betaproteobacteria)
GCA_001992705.1	Burkholderia cenocepacia (Betaproteobacteria)
GCA_001999825.1	Burkholderia cenocepacia (Betaproteobacteria)
GCA_002007585.1	Burkholderia cenocepacia (Betaproteobacteria)
GCA_002010805.1	Cupriavidus sp. JdFR-90 (Betaproteobacteria)
GCA_002068095.1	Bradyrhizobium sacchari (Alphaproteobacteria)
GCA_002083525.1	Proteobacteria bacterium SG_bin9 (Proteobacteria)
GCA_002108675.1	Bradyrhizobium canariense (Alphaproteobacteria)
GCA_002108695.1	Bradyrhizobium canariense (Alphaproteobacteria)
GCA_002108725.1	Bradyrhizobium canariense (Alphaproteobacteria)
GCA_002108745.1	Bradyrhizobium canariense (Alphaproteobacteria)
GCA_002108755.1	Bradyrhizobium canariense (Alphaproteobacteria)
GCA_002108775.1	Bradyrhizobium canariense (Alphaproteobacteria)
GCA_002108805.1	Bradyrhizobium canariense (Alphaproteobacteria)
GCA_002108825.1	Bradyrhizobium canariense (Alphaproteobacteria)
GCA_002108845.1	Bradyrhizobium canariense (Alphaproteobacteria)
GCA_002108865.1	Bradyrhizobium canariense (Alphaproteobacteria)
GCA_002108875.1	Bradyrhizobium canariense (Alphaproteobacteria)
GCA_002108905.1	Bradyrhizobium canariense (Alphaproteobacteria)
GCA_002108935.1	Bradyrhizobium japonicum (Alphaproteobacteria)
GCA_002108965.1	Bradyrhizobium canariense (Alphaproteobacteria)
GCA_002108995.1	Bradyrhizobium canariense (Alphaproteobacteria)
GCA_002119665.1	Bordetella genomosp. 13 (Betaproteobacteria)
GCA_002148915.1	Sphingobium sp. GW456-12-10-14-TSB1 (Alphaproteobacteria)
GCA_002167275.2	Alphaproteobacteria bacterium TMED54 (Alphaproteobacteria)
GCA_002167635.1	Candidatus Endolissoclinum sp. TMED37 (Alphaproteobacteria)
GCA_002167745.1	Betaproteobacteria bacterium TMED22 (Betaproteobacteria)
GCA_002168395.1	Methylococcaceae bacterium TMED282 (Gammaproteobacteria)
GCA_002170445.2	Hyphomicrobiaceae bacterium TMED74 (Alphaproteobacteria)
GCA_002170615.1	Candidatus Endolissoclinum sp. TMED55 (Alphaproteobacteria)
GCA_002172835.1	Candidatus Endolissoclinum sp. TMED26 (Alphaproteobacteria)
GCA_002188465.1	Pigmentiphaga sp. NML080357 (Betaproteobacteria)
GCA_002188635.1	Pigmentiphaga sp. NML030171 (Betaproteobacteria)
GCA_002192685.1	Achromobacter denitrificans (Betaproteobacteria)
GCA_002192695.1	Achromobacter xylosoxidans (Betaproteobacteria)
GCA_002192705.1	Achromobacter xylosoxidans (Betaproteobacteria)
GCA_002205315.1	Achromobacter denitrificans (Betaproteobacteria)
GCA_002206625.1	Polynucleobacter campilacus (Betaproteobacteria)
GCA_002209555.1	Achromobacter insolitus (Betaproteobacteria)
GCA_002216225.1	Pandoraea sp. CB10b_02 (Betaproteobacteria)
GCA_002223345.1	Burkholderia sp. AU16741 (Betaproteobacteria)
GCA_002238015.1	Pandoraea apista (Betaproteobacteria)
GCA_002238415.1	Desulfurellaceae bacterium bin18 (Deltaproteobacteria)
GCA_002238645.1	Alphaproteobacteria bacterium bin52 (Alphaproteobacteria)
GCA_002238725.1	Rhodospirillaceae bacterium bin65 (Alphaproteobacteria)
GCA_002238885.1	Alphaproteobacteria bacterium bin95 (Alphaproteobacteria)
GCA_002239065.1	Defluviicoccus sp. bin129 (Alphaproteobacteria)
GCA_002255195.1	Rhodospirillales bacterium 20-64-7 (Alphaproteobacteria)
GCA_002256335.1	Bradyrhizobium sp. PARBB1 (Alphaproteobacteria)
GCA_002261345.1	Bordetella genomosp. 2 (Betaproteobacteria)
GCA_002266435.2	Bradyrhizobium sp. 2 39S1MB (Alphaproteobacteria)
GCA_002266465.2	Bradyrhizobium sp. 3 85S1MB (Alphaproteobacteria)
GCA_002278135.2	Bradyrhizobium ottawaense (Alphaproteobacteria)
GCA_002279825.1	Sphingomonadales bacterium 12-68-11 (Alphaproteobacteria)
